Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Program_Element_Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconciliation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,0612E02000,"CTG, 7.62MM, All Types",R,Reserve Equip (MEMO NON ADD),Add,,599,,,,599,,843,,,,843,,929,,,,929,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,0612E02000,"CTG, 7.62MM, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,3187,,,,3187,,4498,,,,4498,,4952,,,,4952,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,1450EA3000,"CTG, Handgun, All Types",R,Reserve Equip (MEMO NON ADD),Add,,4,,,,4,,4,,,,4,,4,,,,4,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,1450EA3000,"CTG, Handgun, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,22,,,,22,,23,,,,23,,23,,,,23,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,1722E08000,"CTG, .50 Cal, All Types",R,Reserve Equip (MEMO NON ADD),Add,,2470,,,,2470,,1341,,,,1341,,1123,,,,1123,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,1722E08000,"CTG, .50 Cal, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,13173,,,,13173,,7156,,,,7156,,5984,,,,5984,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,2382E08900,"CTG, 20mm, All Types",R,Reserve Equip (MEMO NON ADD),Add,,70,,,,70,,661,,,,661,,168,,,,168,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,2382E08900,"CTG, 20mm, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,372,,,,372,,3527,,,,3527,,897,,,,897,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,2650E08200,"CTG, 25mm, All Types",R,Reserve Equip (MEMO NON ADD),Add,,727,,,,727,,670,,,,670,,1021,,,,1021,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,2650E08200,"CTG, 25mm, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,3879,,,,3879,,3572,,,,3572,,5446,,,,5446,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,2938ER8120,"CTG, 30mm, All Types",R,Reserve Equip (MEMO NON ADD),Add,,426,,,,426,,964,,,,964,,1794,,,,1794,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,2938ER8120,"CTG, 30mm, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,2271,,,,2271,,5142,,,,5142,,9571,,,,9571,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,3222ER8001,"CTG, 40mm, All Types",R,Reserve Equip (MEMO NON ADD),Add,,3910,,,,3910,,3941,,,,3941,,4384,,,,4384,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,3222ER8001,"CTG, 40mm, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,20857,,,,20857,,21017,,,,21017,,23377,,,,23377,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mortar Ammunition,0050E89600,"60MM Mortar, All Types",R,Reserve Equip (MEMO NON ADD),Add,,1610,,,,1610,,1143,,,,1143,,1910,,,,1910,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Miscellaneous,9615EA8500,Closeout Liabilities,T,NATL Guard Equip (MEMO NON ADD),Add,,13,,,,13,,16,,,,16,,16,,,,16,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Chemical Defensive Equipment,2300M90101,Base Defense Systems (BDS),T,NATL Guard Equip (MEMO NON ADD),Add,,8319,,,,8319,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Other Support Equipment,1110MA4500,Modification Of In-Svc Equipment (OPA-3),T,NATL Guard Equip (MEMO NON ADD),Add,,5704,,,,5704,,833,,,,833,,3135,,,,3135,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Other Support Equipment,1110MA4500,Modification Of In-Svc Equipment (OPA-3),R,Reserve Equip (MEMO NON ADD),Add,,15567,,,,15567,,4996,,,,4996,,12382,,,,12382,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Test Measure and Dig Equipment (TMD),0605G02510,Test Equipment Modernization (TEMOD),T,NATL Guard Equip (MEMO NON ADD),Add,,7858,,,,7858,,19066,,,,19066,,15158,,,,15158,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Test Measure and Dig Equipment (TMD),0605G02510,Test Equipment Modernization (TEMOD),R,Reserve Equip (MEMO NON ADD),Add,,892,,,,892,,2990,,,,2990,,5488,,,,5488,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Test Measure and Dig Equipment (TMD),0200MB4000,Integrated Family Of Test Equipment (IFTE),T,NATL Guard Equip (MEMO NON ADD),Add,,4,,,,4,,13693,,,,13693,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Test Measure and Dig Equipment (TMD),0200MB4000,Integrated Family Of Test Equipment (IFTE),R,Reserve Equip (MEMO NON ADD),Add,,1616,,,,1616,,,,,,,,817,,,,817,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Training Equipment,6860NA0176,Gaming Technology In Support of Army Training,T,NATL Guard Equip (MEMO NON ADD),Add,,3556,,,,3556,,3101,,,,3101,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Training Equipment,6860NA0176,Gaming Technology In Support of Army Training,R,Reserve Equip (MEMO NON ADD),Add,,428,,,,428,,417,,,,417,,,,,,,U
